# Index   NLSS   f_NLSS   dNN    kLSS    QQLSS   Qt      Qratio   sigma           rh                Mvir_rh            Mvirl           rp                v_mean      d_mean          rs              
  89      17     1        1.01   -0.92   -5.17   -2.74   1.0      37.1494857428   0.103943062221    4.71328996396E11   187.529130662   0.183503156961    73.44904    1.0492719995    0.898186093305  
  90      11     1        1.02   -1.25   -4.89   -2.19   1.0      56.934176382    0.255583627319    2.72208795164E12   963.529917873   0.263697869813    112.422     1.606028571     1.33709254781   
  91      19     1        1.08   -1.32   -4.83   -2.54   0.99     99.5602366318   0.345364536702    1.12479303849E13   3815.16912941   0.373354019494    121.41576   1.734510857     2.33601595685   
  92      27     1        1.16   -0.87   -5.15   -3.5    0.98     72.2409564738   0.382997321053    6.56728327943E12   2009.20237974   0.422271128154    152.89392   2.184198857     1.58120152076   
  93      38     1        1.13   -0.77   -4.83   -0.85   1.0      35.6683893539   0.143150016928    5.98386021981E11   376.265898951   0.193482199354    40.47192    0.5781702855    0.77821685753   
  94      10     1        1.1    -1.21   -4.57   -1.86   1.0      47.2324386481   0.273289979155    2.0032146362E12    861.525305019   0.300433342311    97.4324     1.3918914285    1.08490241975   
  95      34     1        1.02   -0.8    -3.11   -2.06   0.92     57.4231905588   0.280974063133    3.04413500442E12   824.710702245   0.30949749844     83.94176    1.1991679995    1.35128419559   
  96      57     1        1.11   -0.74   -4.48   -2.65   0.99     22.2107006677   0.385170854318    6.24310981471E11   188.475031658   0.4396434083      46.46776    0.663825143     0.653369945665  
  97      6      1        1.38   -1.52   -5.18   -3.13   0.99     31.1873348476   0.400210982736    1.27899417856E12   338.908223405   0.416347243164    65.95424    0.9422034285    0.768518644359  
  98      16     1        1.28   -1.46   -4.29   -2.18   0.99     69.2916677387   0.355907276843    5.61464025367E12   1537.82023561   0.357307304457    74.948      1.0706857145    1.5561503466    
  99      68     1        1.0    -0.35   -4.31   -2.81   0.97     94.2638091601   0.222771534815    6.50388280117E12   3386.95548223   0.253937566444    115.41992   1.648856        2.21169864029   
  100     26     1        1.49   -0.8    -4.62   -1.69   1.0      31.2513089354   0.133047663124    4.26939870546E11   261.317203086   0.143600479512    49.46568    0.706652572     0.747412257192  
  101     20     1        1.02   -1.33   -4.36   -1.6    1.0      33.413324349    0.108028001462    3.96276896878E11   354.795553807   0.109480583114    40.47192    0.578170286     0.783022169763  
  102     7      1        2.12   -1.57   -5.89   -2.35   1.0      46.850327247    0.234160147415    1.68873412419E12   623.57569857    0.279507310942    70.45112    1.0064445715    1.14690620302   
  103     18     1        1.26   -1.36   -5.12   -2.2    1.0      40.2957325485   0.135092947975    7.20732039198E11   314.875502518   0.17780223585     44.9688     0.642411429     0.922796768016  
  104     11     1        3.5    -1.96   -5.6    -1.04   1.0      55.441260084    0.0931936195923   9.4118588123E11    955.216269047   0.0942391184416   107.92512   1.541787429     1.28830689668   
  105     51     1        1.09   -0.76   -4.37   -1.46   1.0      48.2986735802   0.227365617991    1.74268237347E12   832.945148839   0.275218260865    59.9584     0.856548571     1.09770645912   
  106     61     1        1.15   -0.75   -5.03   -3.5    0.97     23.3504420187   0.072626684383    1.30109638096E11   38.6479271684   0.233862232363    28.48024    0.40686057145   0.641375687572  
  107     7      1        1.49   -1.73   -5.33   -1.71   1.0      122.422204363   0.238014572369    1.17205226043E13   5521.7390336    0.279518815821    149.896     2.1413714285    2.8597782294    
  108     6      1        1.08   -1.88   -4.98   -2.44   1.0      65.0547872478   0.33341506109     4.63624923503E12   1473.64227062   0.349794113378    79.44488    1.134926857     1.53666041611   
  109     70     1        1.16   -0.51   -4.84   -2.46   1.0      49.5236865276   0.162573470512    1.31008250685E12   629.127850857   0.176668346002    104.9272    1.49896         1.08977356804   
  110     6      1        1.48   -1.73   -4.41   -2.22   0.99     41.7083356681   0.466559029092    2.66670734791E12   663.805797082   0.509253007677    44.9688     0.6424114285    0.993526789087  
