#Index SIT RA DEC z sigma rh_rp rh_rs Mvir_rh R Mvir_rp Mvirl LS rp
83 1 132.89919 39.58976 0.04102 21.9392766145 0.20661597347 0.629727213933 3.2676199607e+11 0.220586565617 3.48856408713e+11 12.2257947792 26727260024.6 0.331775838085
84 1 197.95311 10.60218 0.03148 72.1164387885 0.18463536897 1.38917115525 3.15505171712e+12 0.0942064462361 1.60980104526e+12 99.5437790176 31695116945.1 0.186312465956
85 1 148.01881 6.20932 0.06189 41.6364453471 0.362972550847 0.73574345238 2.06749330889e+12 0.153530823394 8.74512271891e+11 17.8765538358 1.15653907788e+11 0.39628358701
86 1 151.2845 44.51396 0.02632 21.7564461219 0.0768110471929 0.346731385332 1.19460034562e+11 0.0635786810559 98880456834.0 9.93617350918 12022740389.1 0.0852434483204
87 1 149.82838 52.25706 0.04049 41.4200257425 0.191468247637 0.815596315003 1.07929590769e+12 0.128749625309 7.25754507218e+11 20.9011174702 51638191557.2 0.234731237783
88 1 129.27716 41.45632 0.02915 32.8709620609 0.228736840958 0.693686496527 8.12052276094e+11 0.188624332744 6.69646472732e+11 25.3647891379 32014942906.9 0.255884855615
89 1 211.80725 45.89001 0.04019 37.1494857428 0.103943062221 0.787211641033 4.71328996396e+11 0.0239183192104 1.08457429943e+11 14.8346807214 31772102497.4 0.183503156961
90 1 176.44058 47.17471 0.05398 56.934176382 0.255583627319 1.15202339067 2.72208795164e+12 0.11303477254 1.20387442527e+12 42.6619832048 63805940257.6 0.263697869813
91 1 230.7779 37.66977 0.06496 99.5602366318 0.345364536702 2.06907046451 1.12479303849e+13 0.154867316565 5.04376277962e+12 182.239178275 61720704029.8 0.373354019494
92 1 155.24252 6.64181 0.03278 72.2409564738 0.382997321053 0.774361650128 6.56728327943e+12 0.306546474184 5.25637497605e+12 241.781473165 27162061647.9 0.422271128154
93 1 236.62495 32.11728 0.03194 35.6683893539 0.143150016928 0.416528141966 5.98386021981e+11 0.131190544893 5.48393845596e+11 13.170521835 45433736755.4 0.193482199354
94 1 178.7576 49.89954 0.05912 47.2324386481 0.273289979155 0.805341941279 2.0032146362e+12 0.218130478112 1.59889567743e+12 18.993791026 1.05466814574e+11 0.300433342311
95 1 233.47333 45.11768 0.07169 57.4231905588 0.280974063133 1.04776920134 3.04413500442e+12 0.0951307510217 1.03066754971e+12 46.6353721027 65275237811.2 0.30949749844
96 1 217.82492 7.94463 0.0269 22.2107006677 0.385170854318 0.598131313902 6.24310981471e+11 0.197183774996 3.19608804036e+11 16.5752172021 37665327329.3 0.4396434083
97 1 214.38641 8.85557 0.03656 31.1873348476 0.400210982736 0.584558104349 1.27899417856e+12 0.247134277394 7.89791674255e+11 58.0229950816 22042884493.7 0.416347243164
98 1 135.30766 6.02248 0.07636 69.2916677387 0.355907276843 0.872361469777 5.61464025367e+12 0.194818608349 3.07337464494e+12 60.3354220604 93057114078.8 0.357307304457
99 1 195.78815 54.61656 0.02834 94.2638091601 0.222771534815 1.99244572615 6.50388280117e+12 0.114574609358 3.34504061246e+12 567.473098412 11461129733.5 0.253937566444
100 1 156.66083 37.77468 0.05092 31.2513089354 0.133047663124 0.630569331956 4.26939870546e+11 0.10062915764 3.22911342649e+11 6.416477377 66538046573.0 0.143600479512
101 1 206.03496 45.34132 0.03848 33.413324349 0.108028001462 0.673935560163 3.96276896878e+11 0.0635306979257 2.33048353111e+11 13.3897145724 29595619438.8 0.109480583114
102 1 249.64342 31.87298 0.06424 46.850327247 0.234160147415 0.955197726811 1.68873412419e+12 0.198625166468 1.43246022109e+12 26.7929553675 63029035096.0 0.279507310942
103 1 124.18693 27.59188 0.03999 40.2957325485 0.135092947975 0.564765338591 7.20732039198e+11 0.133345670617 7.11410170128e+11 12.5349607895 57497749797.8 0.17780223585
104 1 128.2123 30.87925 0.06579 55.441260084 0.0931936195923 1.12386920566 9.4118588123e+11 0.042827495591 4.32525685288e+11 14.3244916275 65704662036.6 0.0942391184416
105 1 159.33057 43.58759 0.02468 48.2986735802 0.227365617991 0.6816428507 1.74268237347e+12 0.139279551283 1.06753176294e+12 24.4463033847 71286130506.2 0.275218260865
106 1 216.9027 41.25767 0.00892 23.3504420187 0.072626684383 0.600795940952 1.30109638096e+11 0.014139748651 25331151977.9 19.278497482 6748951167.89 0.233862232363
